,Game ID,Team,Away or Home,Score,Rank,Date,Field Goals,3 Pointers,Free Throws,Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Rank Diff,Score Diff,Win,Cumulative Avg Points,Cumulative Field Goals Avg,Cumulative 3 Pointers Avg,Cumulative Free Throws Avg
114,6290094,East Tenn. St.,Away team,73.0,7,9,0.43333333333333335,0.5,0.5,42,18,24,10,8,2,14,12,5,11.0,1,73.0,0.43333333333333335,0.5,0.5
115,6290094,UNC Greensboro,Home team,62.0,2,9,0.4,0.25925925925925924,0.7777777777777778,33,14,19,11,10,5,15,16,-5,-11.0,0,62.0,0.4,0.25925925925925924,0.7777777777777778
116,6290800,Albany,Away team,72.0,8,9,0.46551724137931033,0.36363636363636365,1.0,34,9,25,11,4,8,11,23,7,-3.0,0,72.0,0.46551724137931033,0.36363636363636365,1.0
117,6290800,Vermont,Home team,75.0,1,9,0.43636363636363634,0.25,0.71875,32,10,22,10,7,5,7,13,-7,3.0,1,75.0,0.43636363636363634,0.25,0.71875
118,6290801,Binghamton,Away team,64.0,5,9,0.5,0.3333333333333333,0.625,27,4,23,11,3,6,15,19,1,-13.0,0,64.0,0.5,0.3333333333333333,0.625
119,6290801,New Hampshire,Home team,77.0,4,9,0.4444444444444444,0.4166666666666667,0.9047619047619048,30,7,23,11,9,2,9,19,-1,13.0,1,77.0,0.4444444444444444,0.4166666666666667,0.9047619047619048
120,6290803,UMBC,Away team,89.0,7,9,0.42857142857142855,0.34375,0.75,32,6,26,20,10,6,10,23,5,-5.0,0,89.0,0.42857142857142855,0.34375,0.75
121,6290803,UMass-Lowell,Home team,94.0,2,9,0.463768115942029,0.38461538461538464,0.6451612903225806,56,16,40,17,5,4,20,13,-5,5.0,1,94.0,0.463768115942029,0.38461538461538464,0.6451612903225806
122,6290189,Northern Iowa,Away team,72.0,4,9,0.4098360655737705,0.34615384615384615,0.7647058823529411,26,6,20,12,5,1,5,15,3,-22.0,0,69.5,0.3715846994535519,0.2841880341880342,0.7444219066937119
123,6290189,Indiana St.,Home team,94.0,1,9,0.5737704918032787,0.5172413793103449,0.8181818181818182,38,6,32,22,2,0,8,16,-3,22.0,1,84.5,0.5091074681238615,0.4252873563218391,0.8181818181818182
124,6290086,Northeastern,Away team,65.0,10,9,0.35384615384615387,0.30434782608695654,0.5714285714285714,42,18,24,17,7,2,9,18,3,-10.0,0,65.0,0.35384615384615387,0.30434782608695654,0.5714285714285714
